# PSNR SSIM RMSE PCC
26.206503 0.630681 0.049030 0.883181
26.212167 0.630513 0.048997 0.883315
26.213284 0.630682 0.048990 0.883384
26.214697 0.630513 0.048983 0.883395
26.213389 0.630576 0.048990 0.883356
26.210858 0.630642 0.049006 0.883274
26.211215 0.630912 0.049003 0.883309
26.209567 0.630776 0.049013 0.883265
26.213510 0.630565 0.048990 0.883315
26.213921 0.630791 0.048988 0.883375
26.216288 0.630488 0.048975 0.883410
26.211794 0.630831 0.049001 0.883337
26.213819 0.630715 0.048989 0.883370
26.216262 0.630742 0.048975 0.883418
26.220035 0.630612 0.048953 0.883500
26.214665 0.630888 0.048985 0.883355
26.219129 0.630852 0.048958 0.883496
26.221374 0.630737 0.048946 0.883551
26.219133 0.630824 0.048959 0.883510
26.214489 0.630875 0.048986 0.883359
26.208507 0.631169 0.049021 0.883267
26.221952 0.630802 0.048943 0.883522
26.218800 0.630716 0.048962 0.883476
26.219803 0.630851 0.048955 0.883499
26.220092 0.630871 0.048954 0.883522
26.218496 0.631027 0.048964 0.883498
26.220128 0.630857 0.048955 0.883518
26.225374 0.630775 0.048925 0.883599
26.221840 0.630931 0.048945 0.883560
26.214151 0.631096 0.048990 0.883367
26.222323 0.630956 0.048942 0.883572
26.219477 0.631121 0.048959 0.883559
26.219873 0.631058 0.048958 0.883513
26.218844 0.631163 0.048963 0.883498
26.224219 0.630940 0.048932 0.883636
26.222313 0.631038 0.048943 0.883565
26.220149 0.631177 0.048957 0.883574
26.225190 0.630880 0.048926 0.883658
26.221216 0.630876 0.048950 0.883502
26.224385 0.630951 0.048932 0.883616
26.225709 0.630960 0.048924 0.883663
26.227531 0.630935 0.048914 0.883708
26.222655 0.631041 0.048942 0.883611
26.223599 0.631135 0.048937 0.883622
26.222074 0.631248 0.048946 0.883581
26.222577 0.631351 0.048943 0.883604
26.231782 0.630748 0.048888 0.883789
26.223041 0.631326 0.048941 0.883630
26.223712 0.631216 0.048937 0.883579
26.226252 0.631249 0.048922 0.883704
26.224951 0.631331 0.048930 0.883645
26.222671 0.631338 0.048944 0.883564
26.221426 0.631407 0.048951 0.883572
26.231685 0.631195 0.048891 0.883760
26.227247 0.631147 0.048917 0.883683
26.229805 0.631246 0.048902 0.883719
26.224811 0.631518 0.048932 0.883644
26.232375 0.631150 0.048887 0.883812
26.228737 0.631364 0.048908 0.883713
26.226770 0.631478 0.048920 0.883701
26.232046 0.631280 0.048889 0.883802
26.233620 0.631301 0.048881 0.883843
26.229110 0.631447 0.048908 0.883726
26.235598 0.631363 0.048869 0.883913
26.228893 0.631654 0.048909 0.883789
26.230540 0.631579 0.048899 0.883755
26.228445 0.631599 0.048912 0.883743
